% function evaluation | noise-free fitness - Fopt (3.590000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.069111954e+06 +1.069111954e+06 +1.069147854e+06 +1.069147854e+06 -3.4622e+00 -1.0541e+00 -3.5937e+00 -1.9723e+00 -1.9652e+00 -4.2582e+00 -4.3356e+00 -5.0192e-01 -4.9649e+00 -4.3919e+00
2 +9.836472280e+05 +9.836472280e+05 +9.836831280e+05 +9.836831280e+05 +4.5782e-01 -2.5553e+00 -2.3409e+00 +1.6800e+00 -4.7641e+00 +6.8497e-01 -3.8881e+00 -4.6283e+00 +3.7618e+00 +1.1850e+00
4 +4.297416953e+05 +4.297416953e+05 +4.297775953e+05 +4.297775953e+05 +4.5882e+00 +4.0661e+00 +1.0745e+00 +4.0793e+00 -3.8591e+00 +4.3146e+00 -1.3291e+00 -1.7063e-01 -3.1986e+00 +3.6414e+00
6 +1.690885829e+05 +1.690885829e+05 +1.691244829e+05 +1.691244829e+05 -3.0512e+00 -3.2063e-01 +4.7476e+00 -1.8487e+00 -2.2050e+00 -4.4992e+00 -1.4874e+00 +4.1067e+00 +1.5596e+00 +4.2461e+00
7 +1.215843440e+05 +1.215843440e+05 +1.216202440e+05 +1.216202440e+05 +2.8365e+00 +2.3487e+00 +2.7127e+00 -4.5046e+00 +8.5175e-01 +2.5889e+00 -4.3012e+00 -5.4628e-01 +1.9816e+00 +3.1283e+00
13 +2.606532408e+04 +2.606532408e+04 +2.610122408e+04 +2.610122408e+04 +1.7428e+00 +4.3006e+00 +3.3858e+00 -3.2976e+00 +4.3646e+00 -1.1168e+00 -2.4256e+00 -1.5685e-01 +3.6034e+00 +2.2620e+00
125 +2.436391608e+04 +2.436391608e+04 +2.439981608e+04 +2.439981608e+04 +1.8813e+00 +4.1990e+00 +3.5586e+00 -3.0394e+00 +4.2068e+00 -1.0584e+00 -2.4485e+00 +4.8589e-03 +3.5446e+00 +2.3940e+00
134 +1.174129838e+04 +1.174129838e+04 +1.177719838e+04 +1.177719838e+04 +2.1198e+00 +4.2278e+00 +4.8133e+00 -2.0411e+00 +4.2696e+00 -5.4065e-01 -2.8369e+00 -2.6227e-01 +1.8799e+00 +1.7269e+00
148 +9.795104594e+03 +9.795104594e+03 +9.831004594e+03 +9.831004594e+03 +1.3105e+00 +4.3775e+00 +5.0000e+00 -3.2307e+00 +4.9697e+00 -1.3736e+00 -2.4786e+00 -4.6518e-01 +3.7638e+00 +1.8012e+00
152 +4.554689668e+03 +4.554689668e+03 +4.590589668e+03 +4.590589668e+03 +1.5544e+00 +5.0000e+00 +4.4423e+00 -2.4773e+00 +5.0000e+00 -1.4950e+00 -1.6799e+00 -4.5687e-01 +2.4276e+00 +1.5701e+00
185 +2.047630743e+03 +2.047630743e+03 +2.083530743e+03 +2.083530743e+03 +1.8046e+00 +5.0000e+00 +5.0000e+00 -1.2804e+00 +4.0401e+00 -2.0449e+00 -2.7872e+00 +4.0290e-01 +2.3607e+00 +8.7374e-01
233 +8.159450857e+02 +8.159450857e+02 +8.518450857e+02 +8.518450857e+02 +1.5488e+00 +4.9335e+00 +5.0000e+00 -1.2136e+00 +4.2913e+00 -1.9317e+00 -2.7695e+00 +5.8302e-01 +2.2597e+00 +9.7166e-01
241 +4.049312006e+02 +4.049312006e+02 +4.408312006e+02 +4.408312006e+02 +1.3765e+00 +4.7778e+00 +5.0000e+00 -1.2312e+00 +4.3367e+00 -1.8479e+00 -2.6709e+00 +6.3271e-01 +2.2448e+00 +1.0556e+00
254 +2.017254936e+02 +2.017254936e+02 +2.376254936e+02 +2.376254936e+02 +1.8958e+00 +5.0000e+00 +4.2513e+00 -1.1933e+00 +4.2520e+00 -2.3038e+00 -2.9378e+00 +1.2365e+00 +1.5561e+00 +1.8277e+00
302 +1.584216232e+02 +1.584216232e+02 +1.943216232e+02 +1.943216232e+02 +6.0751e-01 +4.1690e+00 +4.8204e+00 +8.4874e-01 +3.8340e+00 -4.0504e+00 -3.1867e+00 +1.4744e+00 +1.2772e-01 +1.0867e+00
525 +9.947450530e+01 +9.947450530e+01 +1.353745053e+02 +1.353745053e+02 +1.8035e+00 +3.8549e+00 +3.2677e+00 +5.4989e-01 +3.1778e+00 -2.6487e+00 -4.3924e+00 +3.2046e-01 +5.9325e-01 +2.8095e-01
1030 +6.183261319e+01 +6.183261319e+01 +9.773261319e+01 +9.773261319e+01 +1.8088e+00 +4.4215e+00 +2.2498e+00 +2.0130e+00 +3.1556e+00 -3.2526e+00 -4.7367e+00 -4.7696e-01 -2.9087e-01 +1.4288e-01
1990 +3.966712089e+01 +3.966712089e+01 +7.556712089e+01 +7.556712089e+01 +2.1964e+00 +4.2375e+00 +1.8716e+00 +2.7562e+00 +2.7826e+00 -3.3507e+00 -4.6420e+00 -1.3565e+00 -1.4761e+00 -2.8654e-01
3303 +2.506421387e+01 +2.506421387e+01 +6.096421387e+01 +6.096421387e+01 +2.3559e+00 +3.7836e+00 +1.9056e+00 +2.8824e+00 +1.8609e+00 -3.1918e+00 -4.4846e+00 -1.6597e+00 -1.9684e+00 -5.3448e-01
4121 +1.491233844e+01 +1.491233844e+01 +5.081233844e+01 +5.081233844e+01 +2.2872e+00 +3.1841e+00 +2.2440e+00 +2.9751e+00 +1.0122e+00 -3.1234e+00 -3.8755e+00 -1.6614e+00 -2.2102e+00 -1.3068e+00
5170 +9.420789250e+00 +9.420789250e+00 +4.532078925e+01 +4.532078925e+01 +2.3906e+00 +2.6158e+00 +2.2450e+00 +3.3214e+00 +1.0543e-01 -2.9727e+00 -3.9229e+00 -2.0275e+00 -2.8711e+00 -1.3932e+00
6078 +6.285285311e+00 +6.285285311e+00 +4.218528531e+01 +4.218528531e+01 +2.3733e+00 +2.1877e+00 +2.2106e+00 +3.2321e+00 -7.0294e-01 -3.0702e+00 -3.6356e+00 -1.9907e+00 -3.2583e+00 -1.5634e+00
6348 +3.894997700e+00 +3.894997700e+00 +3.979499770e+01 +3.979499770e+01 +2.5732e+00 +1.7588e+00 +2.2096e+00 +3.2684e+00 -9.0208e-01 -3.1025e+00 -3.2803e+00 -2.0148e+00 -3.1883e+00 -1.7113e+00
