% function evaluation | noise-free fitness - Fopt (-1.025500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.228774923e+01 +9.228774923e+01 -1.026225077e+01 -1.026225077e+01 -3.7589e+00 -3.5920e+00 +3.7354e+00 +1.5062e+00 +1.8035e+00 +4.2828e+00 +2.3077e+00 -4.0746e-01 -4.7282e-01 +2.9979e+00 -3.6288e+00 +2.3818e+00 -4.0111e+00 +2.3177e+00 +6.4007e-01 +1.7448e+00 +2.3752e+00 -3.7746e+00 +1.8375e+00 -2.6413e+00
2 +6.020388311e+01 +6.020388311e+01 -4.234611689e+01 -4.234611689e+01 -1.6337e+00 -4.2287e+00 -2.7211e+00 +8.6826e-01 -1.6533e-01 -3.3165e+00 +2.6154e+00 -3.2012e-01 +3.4316e+00 -4.9420e+00 -2.5755e+00 -3.5280e+00 +2.3626e+00 +2.7009e+00 +4.2911e+00 -4.5653e-01 -2.9613e+00 +1.6197e-01 -4.7672e+00 -2.3621e-01
8 +2.483523251e+01 +2.483523251e+01 -7.771476749e+01 -7.771476749e+01 +2.8997e-01 +1.0876e+00 -3.9800e+00 +2.7792e+00 +1.1704e+00 -8.9617e-01 -1.4131e+00 +1.0800e+00 -2.4368e+00 +1.3281e+00 +1.9580e+00 -1.5424e+00 -5.2995e-01 +1.6114e+00 +1.6714e+00 +6.0432e-01 -8.7631e-01 -2.4363e-01 -4.6159e+00 -3.6441e+00
% function evaluation | noise-free fitness - Fopt (7.169000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.387081984e+01 +3.387081984e+01 +1.055608198e+02 +1.055608198e+02 +2.9858e+00 -4.4043e+00 +1.6219e+00 +1.0121e+00 -3.1233e+00 +2.0725e+00 +3.1066e+00 -3.3835e+00 +1.6288e+00 +1.0553e+00 +3.7736e+00 -4.3538e+00 +3.8089e+00 +2.3477e+00 +1.2967e+00 -2.3466e+00 +9.2780e-01 -2.9964e+00 -2.0186e+00 +1.4526e-01
5 +2.289998101e+01 +2.289998101e+01 +9.458998101e+01 +9.458998101e+01 +2.7470e+00 -6.3388e-01 +3.3878e+00 +8.6738e-01 +4.4789e+00 +3.7166e+00 +3.7010e+00 -4.3156e+00 +4.7300e-01 +1.8581e+00 -7.9195e-01 -4.2606e+00 -2.5988e+00 -4.6172e+00 +3.7021e+00 -5.7281e-01 +1.8642e+00 -3.7448e+00 -1.4518e+00 +2.9304e+00
40 +1.568217829e+01 +1.568217829e+01 +8.737217829e+01 +8.737217829e+01 -1.8777e+00 +1.4450e+00 -2.4066e+00 -9.9226e-01 -1.0630e+00 -6.0620e-01 -2.5958e+00 +4.6218e+00 -6.2416e-01 -1.5139e+00 +2.4238e+00 +1.0236e+00 +2.7739e-02 +3.1003e+00 -3.0832e-01 -4.6748e+00 +1.7214e+00 +1.4844e+00 -1.1919e-01 -3.2582e+00
% function evaluation | noise-free fitness - Fopt (2.140100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.805166315e+01 +5.805166315e+01 +2.720616631e+02 +2.720616631e+02 +2.2079e+00 +2.5561e+00 -5.2379e-01 -4.8310e+00 -3.2730e+00 -2.7243e+00 +2.6715e+00 +6.0988e-01 +4.6170e+00 +3.9068e+00 -1.3874e+00 +1.3065e+00 -1.4556e+00 -2.7348e-01 +2.4337e+00 +7.9265e-01 -4.3123e+00 -4.5514e+00 -4.5558e-01 +4.0645e+00
2 +3.617628662e+01 +3.617628662e+01 +2.501862866e+02 +2.501862866e+02 +2.3974e+00 +1.7647e+00 +1.9749e+00 +2.1765e+00 +6.3149e-01 +3.8309e+00 -2.1335e+00 +4.9153e+00 +1.6227e+00 +2.1817e+00 -4.4301e+00 -5.9107e-02 +1.3138e+00 -7.7075e-01 -1.7053e+00 +4.0325e+00 +1.5026e+00 +4.9466e+00 -2.3083e+00 -1.5496e-02
8 +2.173044304e+01 +2.173044304e+01 +2.357404430e+02 +2.357404430e+02 -1.6301e+00 -1.0580e+00 -2.5093e+00 -1.3494e+00 -4.4964e-01 +2.7728e+00 +3.3791e+00 +2.5948e+00 +9.8301e-01 +1.1432e+00 -1.0548e+00 +7.0720e-01 -2.5461e+00 -1.4021e+00 +1.3574e+00 -3.1247e+00 +7.0033e-01 +3.2510e-01 +3.9288e+00 -2.0688e+00
% function evaluation | noise-free fitness - Fopt (-5.848000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
