% function evaluation | noise-free fitness - Fopt (-5.235000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
5 +6.162940120e+01 +6.162940120e+01 +1.015494012e+02 +1.015494012e+02 +2.7875e+00 +6.7837e-01 -2.2675e+00 -4.7988e+00 +1.1929e-01 -1.8698e+00 +2.7041e+00 -3.1211e+00 +4.9058e+00 +2.5883e+00 -3.3565e+00 +1.7875e+00 +1.6464e+00 -3.8607e+00 -6.5681e-01 -3.3124e+00 -3.7356e+00 -1.7309e+00 -2.7200e+00 -2.2016e+00
44 +3.209752534e+01 +3.209752534e+01 +7.201752534e+01 +7.201752534e+01 +2.7023e+00 +1.7432e+00 +4.3618e+00 -1.4901e+00 -4.5367e+00 +3.3403e+00 -1.4784e-02 +6.7630e-01 +4.3422e-01 +3.8645e+00 -1.6978e-01 +3.4517e+00 +4.0274e+00 -4.6950e-01 -5.0693e-01 -2.7638e+00 -4.8181e+00 -1.8126e+00 -4.2580e+00 +4.3361e+00
% function evaluation | noise-free fitness - Fopt (-5.661000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.038286558e+01 +6.038286558e+01 +3.772865583e+00 +3.772865583e+00 -4.6941e+00 +1.7423e+00 +2.0577e+00 -1.8709e+00 -1.6794e+00 +1.8765e+00 +4.9322e+00 -5.0851e-01 -2.4105e-01 +3.3568e+00 +2.6325e+00 +4.5719e+00 -1.3494e+00 -4.6946e+00 +4.9716e+00 +4.7960e-01 +1.0491e+00 +2.1446e+00 -6.0331e-01 +4.5159e+00
69 +3.940979638e+01 +3.940979638e+01 -1.720020362e+01 -1.720020362e+01 -1.8952e+00 -1.9988e+00 +4.9215e+00 +3.2009e+00 -3.7851e+00 +2.7385e+00 +1.6145e+00 -3.3375e+00 -3.4589e+00 +5.5612e-01 +1.5177e+00 +2.3975e+00 -3.1314e+00 +1.9334e+00 +2.2411e+00 +2.7153e+00 -4.0082e+00 -1.5333e+00 +4.7563e-01 +4.3648e+00
% function evaluation | noise-free fitness - Fopt (1.686600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.454895830e+02 +1.454895830e+02 +3.141495830e+02 +3.141495830e+02 +2.9412e+00 +4.7067e+00 -3.8419e+00 +2.2508e+00 +2.8451e-01 +3.3153e-01 -3.3308e+00 +3.8283e+00 +1.3298e+00 +6.1309e-02 +4.2075e+00 -2.1101e+00 +4.3982e+00 -2.9634e+00 +3.9605e+00 +9.3372e-01 -1.1456e+00 -3.4247e+00 -9.9416e-01 +3.4901e+00
2 +6.548546353e+01 +6.548546353e+01 +2.341454635e+02 +2.341454635e+02 +3.3376e+00 +4.4504e-01 -7.9750e-01 +2.1727e+00 -1.4813e+00 -2.1699e+00 +1.5049e+00 -4.1485e+00 +2.7768e+00 +5.3489e-01 +3.8600e+00 +3.5131e-01 +4.0803e+00 +3.0496e+00 +3.3708e+00 -1.3980e+00 +1.2764e+00 -3.6556e+00 -9.1152e-01 +2.5054e-01
27 +5.376829400e+01 +5.376829400e+01 +2.224282940e+02 +2.224282940e+02 -3.9486e+00 -4.5170e-01 -2.1967e+00 +2.6940e+00 +3.2387e+00 +4.6676e+00 +4.5944e+00 +3.8402e+00 +1.7286e+00 -3.1792e+00 -4.0270e+00 +1.7607e+00 +2.1704e+00 -2.3937e+00 +2.2832e+00 +6.9865e-01 +2.1390e+00 +1.4326e+00 -9.1492e-01 +2.8744e+00
% function evaluation | noise-free fitness - Fopt (4.076900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.015184507e+02 +2.015184507e+02 +6.092084507e+02 +6.092084507e+02 +3.9113e-01 -2.4866e+00 -4.4771e+00 +1.7894e+00 +9.6951e-01 -1.8420e+00 +8.7140e-01 -2.9029e+00 -8.1303e-01 +4.0949e+00 -1.9994e+00 -2.6953e+00 -4.7247e+00 +2.7152e+00 +4.5858e+00 -2.5680e+00 -2.5976e+00 +1.7423e-01 -4.0289e-01 -4.0538e+00
