% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
21 +3.235139159e+00 +3.235139159e+00 +9.801513916e+01 +9.801513916e+01 -5.6100e-01 -3.9032e+00 +4.5668e+00
% function evaluation | noise-free fitness - Fopt (2.339200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.775781163e+01 +1.775781163e+01 +2.516778116e+02 +2.516778116e+02 -2.7691e+00 -3.0613e+00 -4.8320e+00
2 +4.283805834e+00 +4.283805834e+00 +2.382038058e+02 +2.382038058e+02 -2.7791e+00 -4.4985e-01 -1.2865e+00
% function evaluation | noise-free fitness - Fopt (-6.092000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.047656516e+01 +8.047656516e+01 +1.955656516e+01 +1.955656516e+01 +4.5084e+00 +3.8762e+00 -4.6969e+00
2 +3.394567087e+01 +3.394567087e+01 -2.697432913e+01 -2.697432913e+01 +2.9490e+00 -2.7900e+00 +4.1963e+00
7 +2.141587048e+01 +2.141587048e+01 -3.950412952e+01 -3.950412952e+01 +4.1006e+00 -7.2849e-01 +3.4230e+00
11 +3.227848083e+00 +3.227848083e+00 -5.769215192e+01 -5.769215192e+01 +1.9125e+00 +2.2181e+00 +4.8374e+00
18 +7.670702431e-01 +7.670702431e-01 -6.015292976e+01 -6.015292976e+01 +7.6864e-01 +2.0582e+00 +2.7370e+00
% function evaluation | noise-free fitness - Fopt (-1.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.628199858e+01 +5.628199858e+01 +3.680199858e+01 +3.680199858e+01 +1.0347e+00 -4.7795e+00 +3.3735e+00
2 +3.285023824e+01 +3.285023824e+01 +1.337023824e+01 +1.337023824e+01 -3.0672e+00 -3.1067e+00 +2.3348e+00
4 +1.220424502e+01 +1.220424502e+01 -7.275754975e+00 -7.275754975e+00 -1.4565e+00 +4.7933e+00 +3.0794e+00
8 +8.379033018e+00 +8.379033018e+00 -1.110096698e+01 -1.110096698e+01 -2.8790e+00 -1.8414e-02 +3.3626e-01
27 +1.278634898e+00 +1.278634898e+00 -1.820136510e+01 -1.820136510e+01 -8.6097e-01 +1.7289e+00 +2.0612e+00
% function evaluation | noise-free fitness - Fopt (1.344700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.469617526e+01 +7.469617526e+01 +2.091661753e+02 +2.091661753e+02 +3.7430e+00 +2.4467e+00 -4.6803e+00
2 +4.601587570e+01 +4.601587570e+01 +1.804858757e+02 +1.804858757e+02 +1.6282e+00 -1.1844e+00 -1.4759e+00
5 +8.489298907e+00 +8.489298907e+00 +1.429592989e+02 +1.429592989e+02 -1.8485e+00 +3.7972e+00 -2.1329e+00
12 +4.148375724e+00 +4.148375724e+00 +1.386183757e+02 +1.386183757e+02 -1.5693e+00 +3.8352e+00 +1.2425e+00
% function evaluation | noise-free fitness - Fopt (4.453500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.099475971e+01 +8.099475971e+01 +5.263447597e+02 +5.263447597e+02 +4.7082e-01 -4.0992e+00 +2.8911e+00
2 +4.053043326e+01 +4.053043326e+01 +4.858804333e+02 +4.858804333e+02 +2.3023e+00 +8.4251e-01 +1.4092e+00
3 +3.156447437e+01 +3.156447437e+01 +4.769144744e+02 +4.769144744e+02 +7.5641e-01 -2.9093e-01 +1.0617e+00
5 +1.207230775e+01 +1.207230775e+01 +4.574223078e+02 +4.574223078e+02 -3.0764e+00 -3.5654e-03 -1.5881e+00
8 +3.653026897e+00 +3.653026897e+00 +4.490030269e+02 +4.490030269e+02 -1.6629e+00 +4.4738e+00 -7.0116e-01
18 +2.447921713e+00 +2.447921713e+00 +4.477979217e+02 +4.477979217e+02 -1.9070e+00 +2.6111e+00 -1.0010e-01
