% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.017687483e+06 +6.017687483e+06 +6.017632543e+06 +6.017632543e+06 +8.4147e-01 -3.4519e+00 +4.2845e+00 -2.0932e-01 +1.0425e+00 +2.0629e-01 -1.5523e-01 -3.6762e+00 +2.9729e-02 -4.6787e-01 +2.3830e+00 -1.7007e+00 -4.1841e-01 -4.8576e+00 -3.1319e+00 +4.7575e-01 -3.3570e+00 -5.2626e-02 -2.8602e+00 +7.7544e-01
27 +3.471387847e+06 +3.471387847e+06 +3.471332907e+06 +3.471332907e+06 +1.0757e+00 +4.1762e+00 -3.6949e+00 -3.3336e+00 -2.4505e+00 +2.9149e+00 +1.3326e+00 -4.4174e+00 -2.5786e+00 -5.4784e-01 +4.8138e+00 +1.1243e+00 +1.0531e+00 -1.4728e+00 +3.0758e-01 -4.1605e+00 +1.7380e+00 +5.4552e-01 -5.3155e-01 -4.1972e+00
106 +2.403139654e+06 +2.403139654e+06 +2.403084714e+06 +2.403084714e+06 -3.6595e+00 -4.7308e-01 -1.4879e+00 -2.0645e-01 +2.8469e+00 -1.2481e+00 +3.5116e+00 -2.5920e+00 -2.9087e+00 -2.8634e+00 -2.8954e-02 +8.7342e-02 -1.6035e-02 -1.2593e+00 -3.4280e+00 +1.1420e+00 +4.0998e+00 +3.5687e-01 +4.6511e-01 +1.9523e+00
% function evaluation | noise-free fitness - Fopt (5.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.412777749e+07 +2.412777749e+07 +2.412783662e+07 +2.412783662e+07 -3.0215e+00 -4.4272e-01 -3.5294e+00 +2.0058e+00 +2.9138e+00 -4.9727e+00 +7.1953e-01 -3.0176e-01 +4.6382e+00 +6.2117e-01 -4.6849e+00 +4.0668e+00 +2.3750e+00 +1.0118e+00 -5.3599e-01 -3.0417e+00 +3.4381e+00 -1.3733e+00 +4.3537e+00 +4.1488e+00
4 +6.477576483e+06 +6.477576483e+06 +6.477635613e+06 +6.477635613e+06 -3.2063e+00 -2.9013e+00 +8.8256e-01 -1.1436e+00 +6.0500e-01 -2.8396e+00 +1.3194e+00 +2.3142e+00 -4.0644e+00 +1.1852e+00 +1.6421e+00 +6.2647e-01 -3.4857e+00 +2.9771e+00 +3.4791e+00 +2.2617e+00 -2.3341e+00 +3.1618e+00 +1.0048e+00 -1.9803e+00
10 +3.170201182e+06 +3.170201182e+06 +3.170260312e+06 +3.170260312e+06 -2.8288e+00 -2.2666e+00 -3.7124e+00 -1.8955e-01 -4.4540e+00 +1.4906e+00 +4.1866e+00 +2.9226e+00 -3.7384e+00 +2.9911e+00 +2.0037e+00 +2.8964e+00 -4.7565e+00 +4.7162e+00 -1.8631e+00 +4.2717e+00 +9.8913e-01 -1.2130e+00 -3.8400e+00 +2.5199e+00
20 +1.129481904e+06 +1.129481904e+06 +1.129541034e+06 +1.129541034e+06 +7.6564e-01 -8.3849e-01 +4.0145e+00 -1.3984e+00 -4.5252e+00 -4.2461e+00 +1.2179e+00 +3.0652e+00 +4.8177e+00 -4.6088e+00 +3.5565e+00 -3.7947e+00 -4.1135e+00 +3.2370e+00 -2.1844e+00 +3.7556e+00 +2.9883e+00 +4.9455e+00 +2.3672e+00 -3.8287e+00
% function evaluation | noise-free fitness - Fopt (-4.915300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.930876538e+06 +2.930876538e+06 +2.930385008e+06 +2.930385008e+06 -3.5627e+00 +4.9887e+00 -6.2558e-01 +9.7594e-02 -1.5897e+00 -2.9238e+00 -3.1073e+00 +1.7299e+00 -1.7125e+00 -4.6126e+00 -9.6770e-01 -4.6257e+00 +2.7375e+00 -1.9501e+00 -2.3910e+00 +2.4003e+00 +7.4524e-01 +2.0434e-01 +4.7561e+00 +1.1109e+00
