% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.113341193e+05 +1.113341193e+05 +1.107876193e+05 +1.107876193e+05 +3.9198e+00 -3.1746e+00 -7.3104e-01 -2.7496e+00 -4.8234e+00 -3.9144e-01 +1.6014e+00 -6.1709e-01 +1.3961e+00 -4.0144e+00 +3.1274e+00 +4.5812e+00 +4.1829e+00 -1.4327e+00 -1.4300e+00 -4.2011e+00 +2.6349e+00 -3.7930e+00 -4.9675e+00 +1.3463e-01
5 +9.693721533e+04 +9.693721533e+04 +9.639071533e+04 +9.639071533e+04 -3.3014e+00 -2.8585e+00 -7.9473e-01 -2.8777e+00 -9.3745e-01 +3.2656e+00 +4.0687e+00 -4.8454e+00 -2.2559e+00 +1.9944e+00 -5.3103e-01 +2.7670e+00 +3.9058e+00 +3.1667e+00 -1.6011e+00 -3.9899e+00 -9.5648e-01 -3.6619e-01 -2.2585e+00 -3.8234e-02
13 +3.994790333e+04 +3.994790333e+04 +3.940140333e+04 +3.940140333e+04 -2.6780e+00 +7.3451e-01 -3.2454e+00 +1.0160e+00 -4.9040e+00 -3.1953e+00 -3.0794e+00 +2.3262e+00 -2.2795e+00 +3.6075e+00 -1.0974e+00 +3.0515e+00 +3.3478e+00 -2.2169e+00 -8.6180e-01 -3.2976e+00 +2.6925e+00 -4.4481e+00 -1.4729e+00 +8.1058e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.967661261e+05 +4.967661261e+05 +4.977661261e+05 +4.977661261e+05 -2.8218e+00 +1.7109e+00 -1.9747e+00 -3.2215e+00 +3.0712e+00 -2.0233e+00 +4.4803e-01 +1.3592e+00 +1.4210e+00 -2.4282e+00 +3.0647e+00 +2.2625e-01 -3.6524e+00 +3.7761e+00 +4.0575e+00 +4.9440e+00 +3.7088e+00 -3.5274e+00 +2.1163e+00 -4.6508e+00
2 +2.363191871e+05 +2.363191871e+05 +2.373191871e+05 +2.373191871e+05 +1.2737e+00 -3.2067e+00 +2.7071e+00 +1.5498e+00 +2.5225e+00 +1.3768e+00 +2.6773e+00 +4.3366e+00 -3.9098e+00 -2.3544e-01 -3.7019e+00 +1.4820e+00 +4.5309e+00 -2.1180e+00 -2.1188e-01 -1.0121e+00 +1.1104e+00 +4.2057e+00 -4.2962e-02 -2.4927e+00
4 +8.470497710e+04 +8.470497710e+04 +8.570497710e+04 +8.570497710e+04 -2.8341e+00 +2.3455e+00 -4.1446e+00 +3.5217e+00 -4.0751e+00 -5.4516e-02 -4.3209e+00 +8.7140e-01 -3.2509e+00 +2.5642e+00 -4.7153e+00 +2.7657e+00 +1.7796e+00 +2.7496e+00 -3.7947e+00 -2.8838e+00 -8.5764e-01 -4.9350e+00 +1.4939e+00 +9.8290e-01
15 +5.446990412e+04 +5.446990412e+04 +5.546990412e+04 +5.546990412e+04 +1.5435e+00 +1.1153e+00 -2.6924e+00 +4.6761e+00 -4.1489e-02 +1.3884e+00 -3.9836e+00 +5.0325e-01 -4.1461e+00 -4.5349e+00 +3.5002e+00 -3.4933e+00 -9.7972e-01 -2.7605e+00 -2.9094e+00 -2.9693e+00 +1.0747e-01 +1.2682e+00 -1.5067e+00 -7.1411e-01
16 +3.760589643e+04 +3.760589643e+04 +3.860589643e+04 +3.860589643e+04 -3.6055e+00 +2.7566e+00 -3.8068e-01 +1.7142e+00 -5.0801e-01 +8.4766e-01 -1.9502e+00 -1.8848e+00 -4.1984e+00 -2.8313e-01 -2.4744e+00 +1.2599e-02 +1.4351e-02 -3.0759e+00 +1.4870e+00 -7.6131e-01 -3.4083e-02 -1.7546e+00 -3.6681e+00 +4.2130e+00
% function evaluation | noise-free fitness - Fopt (2.083800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
