% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.926267816e+03 +2.926267816e+03 +2.956237816e+03 +2.956237816e+03 -2.4517e+00 -4.0014e+00 +7.8133e-01 -1.5539e+00 +4.6505e+00 -4.2548e+00 -3.9384e+00 -1.3006e+00 +2.7484e-01 +3.3474e+00 +1.6982e+00 +2.7360e+00 -2.0114e+00 +5.8451e-01 +3.1730e+00 +4.7323e+00 -4.7373e+00 -1.6983e+00 -3.2497e+00 +2.4296e+00
7 +2.413393533e+03 +2.413393533e+03 +2.443363533e+03 +2.443363533e+03 +6.6907e-01 -9.8063e-01 -3.9484e+00 -1.0825e+00 +3.4488e+00 +2.3776e+00 -3.4978e+00 +2.2172e+00 -1.8835e+00 +4.5288e+00 -4.3006e-01 -4.1628e+00 -2.2932e+00 +3.6734e+00 -1.1467e-01 +2.9286e-01 -1.9124e+00 +6.9875e-01 +4.4608e+00 +4.2953e+00
% function evaluation | noise-free fitness - Fopt (-5.171000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.417698754e+03 +3.417698754e+03 +3.365988754e+03 +3.365988754e+03 -1.3633e+00 -2.8172e+00 +2.2705e+00 -2.0713e+00 +2.0597e-02 -2.0237e+00 +2.7397e+00 -4.3149e+00 -3.2132e+00 -2.9762e+00 +3.4880e+00 -3.3595e+00 -3.1307e-01 +4.0317e+00 +3.6388e+00 -1.3803e+00 +2.4683e+00 -5.8172e-01 +3.1799e+00 +7.8578e-01
40 +2.486804522e+03 +2.486804522e+03 +2.435094522e+03 +2.435094522e+03 +3.2917e-01 +7.3789e-01 -2.9410e+00 -4.6654e+00 -2.1769e+00 -2.2132e+00 -4.8425e-02 +6.8287e-01 +1.8218e+00 -2.8442e+00 +4.4488e+00 -2.2698e+00 -3.2940e-01 +2.0652e+00 -1.6597e+00 +2.2993e+00 -1.1707e-01 +3.2007e+00 +4.2545e+00 +4.8753e+00
% function evaluation | noise-free fitness - Fopt (-2.799500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.803267047e+03 +2.803267047e+03 +2.523317047e+03 +2.523317047e+03 -1.0115e-01 +1.3392e+00 -2.8849e+00 -4.0681e+00 -1.0775e-01 +3.4660e+00 +3.1316e+00 -1.2033e-01 +1.7145e+00 -5.5650e-01 +2.7739e+00 +2.1315e-02 -1.6539e+00 -3.8586e+00 +3.4843e+00 +1.8062e-01 +2.4711e+00 +4.2738e+00 +1.0866e+00 -2.0783e-01
26 +2.474849507e+03 +2.474849507e+03 +2.194899507e+03 +2.194899507e+03 -4.4895e+00 -2.1937e+00 +1.3873e+00 +1.7644e+00 -2.1101e+00 -3.8306e+00 -2.4082e+00 +2.3969e+00 -1.9439e-01 -4.3380e+00 -4.3565e+00 -2.5992e+00 -4.8585e+00 +3.1068e+00 -1.4850e+00 +3.5964e+00 -4.6573e+00 -1.4506e+00 -2.5562e+00 +2.2644e+00
% function evaluation | noise-free fitness - Fopt (9.319900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.531212270e+03 +2.531212270e+03 +3.463202270e+03 +3.463202270e+03 +2.1478e+00 -2.9372e+00 -2.0469e+00 +4.4604e-01 +4.3387e+00 -1.1949e+00 -1.6957e+00 -2.7959e+00 +1.3023e+00 -2.7080e+00 -4.5582e-01 -5.4323e-01 +1.0522e+00 -1.7227e-01 -2.0650e+00 -2.2067e+00 -1.0894e+00 +3.2595e+00 +2.4515e+00 +8.8074e-01
5 +2.176534318e+03 +2.176534318e+03 +3.108524318e+03 +3.108524318e+03 -4.6555e+00 +1.0356e+00 +1.3205e+00 -2.0880e+00 -2.4751e+00 +4.2579e-01 -1.2828e+00 -3.8673e+00 -1.1771e-01 -2.5597e+00 +2.0096e+00 -2.2290e+00 -1.7596e+00 -2.6868e+00 +4.2636e+00 -2.4804e-01 -5.6589e-01 +4.0830e-01 +3.3717e+00 +9.7578e-01
% function evaluation | noise-free fitness - Fopt (1.133100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.215163336e+03 +4.215163336e+03 +4.328473336e+03 +4.328473336e+03 -4.9834e+00 -6.7007e-01 -4.9812e+00 +4.6820e+00 +2.1493e+00 -2.8543e-01 +4.1274e+00 +1.6968e+00 -2.8759e+00 -2.2043e+00 +4.5999e+00 -1.4965e+00 -2.8092e+00 -2.4731e+00 -2.2249e+00 -4.0814e+00 +4.9994e+00 +4.4827e+00 +4.9817e+00 +3.7876e+00
2 +3.178420859e+03 +3.178420859e+03 +3.291730859e+03 +3.291730859e+03 +4.1538e+00 -3.2494e+00 +3.7188e+00 -2.3288e-01 -1.7117e+00 +4.9751e+00 -4.7634e+00 -2.4954e+00 +1.1442e+00 -3.4387e+00 -3.1350e+00 -7.3868e-01 +1.6430e+00 -2.9089e+00 +2.4166e+00 +3.3795e+00 +2.9263e-01 -4.1829e+00 -3.8723e+00 -4.6193e+00
5 +2.442885691e+03 +2.442885691e+03 +2.556195691e+03 +2.556195691e+03 +3.9254e+00 +3.7256e+00 -2.0022e+00 +8.8469e-01 +8.3238e-01 -2.1187e+00 -4.0305e+00 -2.7841e+00 +3.3115e+00 +8.2158e-01 -3.4896e+00 -1.8578e+00 +4.7781e+00 -2.3054e+00 +4.5667e+00 -3.7618e-01 +1.0738e-01 -3.5883e+00 -2.9129e+00 -4.6620e+00
% function evaluation | noise-free fitness - Fopt (-9.519000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.469868997e+03 +2.469868997e+03 +2.374678997e+03 +2.374678997e+03 +7.7876e-02 -1.7787e+00 -2.9625e+00 -1.4633e+00 +2.3844e+00 +1.4457e+00 -9.6288e-01 +3.2328e+00 +1.8354e+00 +8.7201e-01 +1.2436e+00 -1.0616e-01 +6.1988e-01 +6.9397e-01 +1.9601e+00 +1.4667e-01 +2.4378e+00 -4.1746e+00 -2.8987e-01 -4.5998e+00
% function evaluation | noise-free fitness - Fopt (-7.663000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.023846605e+03 +3.023846605e+03 +2.947216605e+03 +2.947216605e+03 +1.8915e+00 +3.6277e-01 +1.7936e+00 -1.6826e+00 +3.5719e+00 -3.1594e+00 -2.3053e+00 +1.8613e+00 +3.8886e+00 +7.6793e-01 +2.8217e+00 +3.3639e+00 -2.5151e+00 +4.3595e+00 +2.3091e+00 -2.2486e+00 +1.8006e+00 +3.0097e+00 -4.1315e+00 +4.9304e+00
14 +2.270594907e+03 +2.270594907e+03 +2.193964907e+03 +2.193964907e+03 -2.1413e+00 -4.6360e-01 +2.8433e+00 -3.3705e+00 +3.8975e+00 +7.9112e-01 +9.7545e-01 +1.8373e-01 -1.9800e-01 +7.6214e-01 +5.3296e-01 +4.4818e+00 -3.7319e+00 +2.7740e+00 -3.5412e+00 -5.5991e-01 -2.7413e+00 +4.8501e+00 -1.2309e+00 +4.9597e+00
% function evaluation | noise-free fitness - Fopt (1.152600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.494707800e+03 +2.494707800e+03 +2.609967800e+03 +2.609967800e+03 +3.7212e+00 -2.7947e-01 +1.2132e+00 +4.4172e+00 -3.8040e+00 +4.0978e+00 +3.2350e-01 +3.6833e+00 +4.8805e+00 +3.0126e+00 +2.5188e-01 -2.9096e+00 -3.4280e+00 +3.3213e+00 +1.2876e+00 +1.4455e+00 +3.1134e-01 -3.4547e-02 +4.1820e-01 -3.1068e+00
% function evaluation | noise-free fitness - Fopt (-1.000000000000e-01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.073311493e+03 +3.073311493e+03 +3.073211493e+03 +3.073211493e+03 -3.7142e+00 -4.6644e+00 -4.0855e+00 -4.9111e+00 -3.2831e+00 -8.4517e-01 -2.3626e+00 +2.6707e+00 +1.3464e+00 +1.5573e+00 +1.5667e+00 -1.1051e-01 +1.5150e+00 -4.5755e+00 -1.8652e+00 +1.2514e+00 -3.4336e-01 +1.7453e+00 -5.9198e-01 +1.8031e+00
13 +2.134765365e+03 +2.134765365e+03 +2.134665365e+03 +2.134665365e+03 -9.8793e-01 -1.6562e+00 +2.8261e+00 +4.1271e+00 -4.3292e+00 -1.9265e+00 +5.1906e-01 -3.3958e-01 +2.3061e+00 +2.9083e+00 -4.1910e-01 +4.1063e-01 -1.4154e+00 -1.8384e-02 -8.9780e-01 -6.6919e-01 +2.9106e+00 -1.7461e+00 +1.0823e+00 +2.0984e+00
% function evaluation | noise-free fitness - Fopt (-1.502400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.463630665e+03 +2.463630665e+03 +2.313390665e+03 +2.313390665e+03 -1.4797e+00 -4.7833e+00 +1.6551e-01 -3.2613e+00 -3.9753e-01 -5.0948e-01 +3.5151e+00 -2.2499e+00 -7.3958e-01 -2.0260e+00 +4.6639e+00 -1.2008e+00 +8.7170e-01 +2.8376e+00 -4.8191e-02 +6.4784e-01 +4.6906e+00 -3.5446e+00 -1.9874e+00 -1.8297e+00
% function evaluation | noise-free fitness - Fopt (7.470000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.737410878e+03 +3.737410878e+03 +3.812110878e+03 +3.812110878e+03 -3.3251e+00 +2.3534e+00 -3.8518e+00 +3.1119e+00 -2.1519e+00 +3.2142e+00 +3.0406e+00 -2.7542e+00 +2.7981e+00 -3.9508e-02 -3.9242e-01 -2.4227e+00 +2.5401e-01 +3.9826e+00 +2.8902e+00 +2.2546e+00 -1.8187e+00 -2.7936e+00 +2.2236e+00 -8.1184e-01
