% function evaluation | noise-free fitness - Fopt (-9.210000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.928349144e+02 +3.928349144e+02 +3.836249144e+02 +3.836249144e+02 +4.4204e+00 +2.4296e-01 -4.8811e+00 +2.5990e+00 +3.6189e+00 +1.6306e+00 +5.7072e-01 -4.8745e+00 +5.7083e-01 +4.5466e+00 -1.6466e+00 -1.5849e+00 +3.2970e+00 +2.2843e+00 -1.8210e+00 +2.9881e-01 +2.5702e-01 +3.1171e+00 +6.0569e-01 -3.6330e+00
% function evaluation | noise-free fitness - Fopt (6.559900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.056558302e+02 +4.056558302e+02 +1.061645830e+03 +1.061645830e+03 -4.1757e+00 -2.4361e+00 +4.0073e+00 +3.1919e+00 +8.7521e-01 +4.7160e+00 -3.2624e+00 -2.4456e+00 +3.3704e+00 -5.9100e-01 +1.3112e+00 -8.9069e-01 +9.7427e-01 -3.9140e+00 -4.0419e+00 +8.0759e-01 +3.6473e-01 -1.4863e+00 +1.9322e+00 -2.1566e+00
4 +3.942995414e+02 +3.942995414e+02 +1.050289541e+03 +1.050289541e+03 -3.5310e+00 -4.0806e+00 -2.3290e+00 +1.9355e+00 -2.8636e+00 +1.5065e+00 +1.4814e+00 +1.5470e+00 +1.0255e+00 -1.4552e+00 -4.1228e+00 -2.3736e+00 -3.6421e+00 +3.3988e+00 +4.8866e+00 +3.0340e+00 +4.2300e+00 -3.6155e+00 -4.8785e+00 +4.7865e+00
149 +1.924243808e+02 +1.924243808e+02 +8.484143808e+02 +8.484143808e+02 -4.6972e+00 +2.7299e+00 -1.6572e+00 +5.4119e-01 -2.9864e+00 +2.8744e+00 +8.9212e-01 +2.8205e+00 +3.5502e+00 -4.9190e+00 +4.4183e+00 -2.6811e+00 +3.0642e+00 -4.7647e+00 +4.7061e+00 +2.8305e+00 -4.1334e+00 -8.1625e-01 +4.0922e+00 +4.6818e+00
% function evaluation | noise-free fitness - Fopt (6.671000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.754102600e+02 +3.754102600e+02 +4.421202600e+02 +4.421202600e+02 +3.9494e+00 +3.7424e+00 -3.8073e+00 -7.7210e-01 +1.2059e+00 -4.5386e+00 -2.2388e+00 -3.4407e+00 +2.2518e+00 -3.0941e-01 +2.4320e+00 +2.0682e+00 +3.6481e-01 -1.1967e+00 +4.1424e+00 +5.0684e-01 -3.7756e+00 -3.0110e-01 -1.3259e+00 +2.6791e+00
12 +2.506744831e+02 +2.506744831e+02 +3.173844831e+02 +3.173844831e+02 +5.1074e-01 -7.0095e-01 -2.7310e+00 -5.9127e-01 -4.0074e+00 +3.7925e-02 -4.3490e+00 +1.0376e+00 +2.5017e+00 +1.7645e+00 +3.6009e+00 +3.2363e+00 +3.9061e+00 +2.9613e+00 +3.4757e+00 +4.3460e+00 -4.6266e+00 +2.9988e+00 -4.3916e+00 -3.1273e+00
% function evaluation | noise-free fitness - Fopt (9.416700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.755569936e+02 +3.755569936e+02 +1.317226994e+03 +1.317226994e+03 +4.0288e+00 -3.8502e+00 -2.3884e+00 +3.3746e+00 -4.8777e+00 +4.0951e+00 -3.1286e+00 +4.8713e+00 +3.0547e+00 +1.1093e+00 -1.8714e+00 +5.1253e-01 -4.4228e+00 +2.3413e+00 +4.1672e+00 -1.9351e+00 +3.5358e+00 -1.2277e+00 -3.4874e-01 +4.4540e+00
153 +2.460771695e+02 +2.460771695e+02 +1.187747170e+03 +1.187747170e+03 -3.2301e+00 +2.7399e+00 +3.4904e+00 -1.7110e+00 -4.1818e+00 +4.7250e+00 -4.8997e+00 -4.4140e+00 +5.1304e-02 -3.7089e+00 -4.7514e+00 +4.0929e+00 -4.5979e-01 -1.9399e+00 +4.5513e+00 -3.7962e-01 -1.7238e+00 +3.9768e+00 -4.7008e-01 +4.8901e+00
% function evaluation | noise-free fitness - Fopt (-3.745000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.790284831e+02 +3.790284831e+02 +3.415784831e+02 +3.415784831e+02 +3.0087e+00 +2.4665e+00 +4.1080e+00 +8.7336e-01 +3.3389e+00 +9.9933e-01 +1.8007e+00 +3.5462e+00 -1.3623e+00 -4.5644e+00 +7.6639e-01 -9.7821e-01 +1.3990e+00 +2.0098e+00 -6.9710e-01 +2.3909e+00 -1.4834e+00 -1.5318e+00 +3.6529e+00 -1.1064e+00
60 +2.356016650e+02 +2.356016650e+02 +1.981516650e+02 +1.981516650e+02 +4.4780e+00 +2.2225e-01 +3.4055e+00 -7.1495e-01 +4.4482e+00 -1.0113e+00 +3.3106e+00 +3.1899e+00 +2.3398e+00 +4.0183e+00 +3.5210e+00 +4.5980e+00 +3.7470e+00 -2.2511e+00 +3.0371e-01 +3.9628e+00 -4.3419e+00 +4.5562e+00 +3.4183e+00 +1.2641e-01
% function evaluation | noise-free fitness - Fopt (-4.450500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.897335830e+02 +4.897335830e+02 +4.468358301e+01 +4.468358301e+01 -4.3808e+00 +1.8171e+00 -1.6274e+00 +6.4375e-01 -2.7618e+00 +1.8568e+00 +3.2942e+00 +2.2173e+00 -4.1201e-01 +2.0514e+00 -3.5770e+00 -1.1727e+00 -9.0556e-01 -3.7360e+00 +4.2944e+00 +6.3920e-01 -3.7798e+00 +4.8599e+00 -4.2371e+00 -3.7491e+00
3 +3.639779334e+02 +3.639779334e+02 -8.107206664e+01 -8.107206664e+01 -1.7856e+00 +4.6437e+00 -4.4042e-01 -1.6156e+00 -9.2573e-02 +1.4257e+00 -9.4300e-01 -2.7872e+00 +4.1967e-01 -3.8326e+00 -4.6239e+00 -4.8181e+00 -2.7331e+00 -3.9842e+00 +1.2690e+00 +3.0870e+00 -4.8131e+00 -1.3969e-01 -1.6626e+00 +2.8622e+00
65 +2.326575131e+02 +2.326575131e+02 -2.123924869e+02 -2.123924869e+02 -2.3147e+00 +4.9701e+00 -5.6414e-01 -3.7430e+00 -2.6987e+00 -3.7526e+00 +4.8286e+00 +2.6461e+00 +2.8417e+00 +4.4110e+00 +4.8402e+00 -6.0983e-01 -9.1310e-01 -4.5233e-02 +3.8573e+00 -2.6699e+00 -2.8586e+00 -4.5714e+00 +3.7090e+00 +4.2458e+00
% function evaluation | noise-free fitness - Fopt (9.513200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.260229835e+02 +4.260229835e+02 +1.377342984e+03 +1.377342984e+03 +4.8718e+00 +3.1507e+00 -4.2408e-01 -3.9600e+00 +1.7421e+00 +2.5508e+00 +4.3134e+00 +3.2295e+00 +4.1731e+00 -4.8177e+00 +2.2018e+00 +1.3005e+00 +4.5516e+00 -3.9360e+00 -3.7269e+00 -6.4846e-01 -7.1947e-01 +4.4732e+00 +3.7475e-01 -3.9229e+00
