% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.483215622e+08 +8.483215622e+08 +8.483209411e+08 +8.483209411e+08 -2.0350e+00 +4.2496e+00 -3.1658e+00 -4.1798e+00 +4.3107e+00 -4.6825e+00 -4.8491e+00 +3.9981e+00 +2.4809e+00 +4.5956e+00 +1.2731e-01 -3.5057e+00 +1.7379e+00 -2.4232e+00 -2.9275e+00 +1.6362e+00 +3.1727e+00 +2.6536e+00 +2.7951e+00 +1.0048e+00
16 +5.830759640e+08 +5.830759640e+08 +5.830753429e+08 +5.830753429e+08 -4.7775e+00 +3.9437e+00 -1.1604e+00 -3.7357e-01 -1.3028e+00 +1.5960e+00 +2.4113e+00 -2.6176e+00 -2.7526e-01 +1.4561e+00 -6.5394e-02 +4.5233e+00 -1.7506e+00 +3.3959e+00 +4.9399e+00 +3.3054e+00 -4.6348e+00 -3.1170e-02 -1.2418e-01 +1.6492e+00
23 +3.636374197e+08 +3.636374197e+08 +3.636367986e+08 +3.636367986e+08 -3.0108e+00 +6.3726e-01 -1.0286e+00 -3.5309e-01 -1.7603e-01 +1.5829e+00 -3.8333e+00 +2.5695e+00 +2.3253e+00 -3.9773e+00 -4.4092e+00 -2.5321e+00 +4.9189e+00 +3.5106e+00 +3.6071e+00 -7.9756e-01 -3.9187e+00 +2.2528e+00 +2.6843e+00 -7.2800e-01
32 +1.914143255e+08 +1.914143255e+08 +1.914137044e+08 +1.914137044e+08 +5.9802e-01 +4.9628e+00 +2.9167e+00 -2.0446e+00 -2.6207e+00 +4.1549e+00 +1.7906e-01 +2.9352e+00 +2.6772e+00 +1.4638e+00 +3.7470e+00 +4.9779e-02 +2.2784e+00 +4.5748e+00 +2.8396e+00 -9.0626e-01 -4.1995e+00 +4.5063e+00 +2.6272e+00 -8.7818e-01
% function evaluation | noise-free fitness - Fopt (-2.548200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.212464723e+08 +7.212464723e+08 +7.212462175e+08 +7.212462175e+08 -2.2485e-02 -2.1915e+00 +1.6068e+00 +4.5707e+00 -4.3613e+00 -3.8485e+00 +3.1908e-01 +2.1199e+00 +3.5029e+00 +2.7772e+00 +3.2949e+00 +1.5711e-01 -3.1833e+00 +7.3374e-01 -2.9931e+00 +2.1779e+00 -1.2196e+00 +8.2385e-01 +2.7284e+00 +7.1523e-01
8 +2.649847197e+08 +2.649847197e+08 +2.649844649e+08 +2.649844649e+08 +2.8113e+00 +2.5175e+00 +1.1712e+00 -2.0816e+00 -2.6076e+00 -3.1209e+00 -4.5800e+00 +4.0043e+00 -4.8680e+00 +1.9629e+00 +3.5355e+00 +3.8418e-01 -1.2824e+00 +9.9512e-01 -2.5759e+00 -1.0222e+00 +2.5723e+00 -3.1640e+00 +1.3064e+00 -3.4313e+00
% function evaluation | noise-free fitness - Fopt (5.661000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.724834117e+10 +4.724834117e+10 +4.724834123e+10 +4.724834123e+10 +2.3350e+00 -3.3634e+00 -3.4900e+00 +3.2004e+00 -9.1754e-01 +4.9331e+00 +1.4191e+00 +1.2825e+00 +3.8015e+00 -9.9409e-01 -4.8472e+00 +4.4958e+00 +1.8084e+00 -3.7244e+00 +1.1017e+00 -4.7800e+00 -5.5967e-01 +2.6856e-01 -1.2581e+00 +1.5551e+00
2 +1.526592072e+09 +1.526592072e+09 +1.526592129e+09 +1.526592129e+09 -2.8996e-01 +2.7763e+00 -2.8899e+00 -1.6640e+00 +4.0305e+00 +1.0305e-01 +4.6962e+00 -3.5683e+00 +4.9911e+00 -1.7042e-01 -1.3526e+00 +4.1793e+00 +4.5568e+00 +4.0205e+00 -3.0029e+00 +4.0093e+00 -2.7031e+00 -1.7156e+00 +6.7370e-01 +1.4685e+00
