% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
8 +5.525515917e+02 +5.525515917e+02 +4.920315917e+02 +4.920315917e+02 -2.0191e+00 +2.0427e+00
10 +3.426666402e+01 +3.426666402e+01 -2.625333598e+01 -2.625333598e+01 -1.2931e+00 +3.2377e-02
16 +4.079876260e+00 +4.079876260e+00 -5.644012374e+01 -5.644012374e+01 +3.4409e-01 -5.8908e-02
% function evaluation | noise-free fitness - Fopt (1.844000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.401355739e+02 +3.401355739e+02 +5.245355739e+02 +5.245355739e+02 -4.8225e+00 -1.6366e+00
2 +9.387886496e+00 +9.387886496e+00 +1.937878865e+02 +1.937878865e+02 +1.0576e+00 -4.4897e-01
% function evaluation | noise-free fitness - Fopt (2.277700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.246433647e+03 +1.246433647e+03 +1.474203647e+03 +1.474203647e+03 -2.9510e-01 -3.0919e+00
3 +1.076508731e+01 +1.076508731e+01 +2.385350873e+02 +2.385350873e+02 +2.1965e+00 +2.9845e+00
% function evaluation | noise-free fitness - Fopt (9.640000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.914474361e+02 +9.914474361e+02 +1.087847436e+03 +1.087847436e+03 +2.6785e+00 +1.9664e-01
2 +1.466043152e+00 +1.466043152e+00 +9.786604315e+01 +9.786604315e+01 -4.0560e-01 -2.0256e-01
% function evaluation | noise-free fitness - Fopt (-9.045000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.401638280e+02 +5.401638280e+02 +4.497138280e+02 +4.497138280e+02 -1.8899e+00 -8.4696e-01
3 +4.379239614e+01 +4.379239614e+01 -4.665760386e+01 -4.665760386e+01 -2.1189e+00 -1.9859e+00
% function evaluation | noise-free fitness - Fopt (3.995000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.811385770e+03 +3.811385770e+03 +3.851335770e+03 +3.851335770e+03 -3.6295e+00 +3.5947e+00
4 +4.842972386e+01 +4.842972386e+01 +8.837972386e+01 +8.837972386e+01 +2.2922e-02 -3.7136e-01
13 +2.038862691e+01 +2.038862691e+01 +6.033862691e+01 +6.033862691e+01 +3.3972e-01 +3.7490e-01
20 +3.815083179e-03 +3.815083179e-03 +3.995381508e+01 +3.995381508e+01 +5.8993e-01 +1.2586e-01
% function evaluation | noise-free fitness - Fopt (7.762000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.962914269e+03 +6.962914269e+03 +7.040534269e+03 +7.040534269e+03 +3.6297e+00 -3.4877e-01
2 +1.041475651e+03 +1.041475651e+03 +1.119095651e+03 +1.119095651e+03 -2.7138e+00 +2.6848e+00
13 +1.855058315e+02 +1.855058315e+02 +2.631258315e+02 +2.631258315e+02 -2.5324e+00 -6.6490e-02
% function evaluation | noise-free fitness - Fopt (-1.092400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.628078605e+04 +2.628078605e+04 +2.617154605e+04 +2.617154605e+04 +3.0293e+00 +4.1078e+00
2 +3.683958819e+03 +3.683958819e+03 +3.574718819e+03 +3.574718819e+03 +4.1966e+00 -3.0727e+00
3 +2.311079165e+02 +2.311079165e+02 +1.218679165e+02 +1.218679165e+02 +1.8107e+00 -4.2519e-02
13 +1.023585605e+02 +1.023585605e+02 -6.881439530e+00 -6.881439530e+00 -2.7535e+00 +2.0641e+00
