% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
5413 +6.279070415e+02 +6.279070415e+02 +6.388670415e+02 +6.388670415e+02
% function evaluation | noise-free fitness - Fopt (9.038000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.535609878e+03 +1.535609878e+03 +1.625989878e+03 +1.625989878e+03
1241 +9.871344724e+02 +9.871344724e+02 +1.077514472e+03 +1.077514472e+03
% function evaluation | noise-free fitness - Fopt (-2.635200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.800410034e+03 +1.800410034e+03 +1.536890034e+03 +1.536890034e+03
4 +1.583730798e+03 +1.583730798e+03 +1.320210798e+03 +1.320210798e+03
1214 +9.393991221e+02 +9.393991221e+02 +6.758791221e+02 +6.758791221e+02
4530 +6.284071012e+02 +6.284071012e+02 +3.648871012e+02 +3.648871012e+02
% function evaluation | noise-free fitness - Fopt (3.101900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.852076029e+03 +1.852076029e+03 +2.162266029e+03 +2.162266029e+03
2 +1.568920768e+03 +1.568920768e+03 +1.879110768e+03 +1.879110768e+03
789 +9.769498865e+02 +9.769498865e+02 +1.287139887e+03 +1.287139887e+03
12898 +6.266034260e+02 +6.266034260e+02 +9.367934260e+02 +9.367934260e+02
