% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.698636040e+03 +2.698636040e+03 +2.681696040e+03 +2.681696040e+03 -2.0922e-01 -2.7759e+00 +4.2975e+00 +6.6079e-01 +9.4405e-01 -1.3295e+00 -3.7330e+00 -4.1073e+00 -4.3572e+00 +4.7360e+00 -4.6271e+00 -3.8321e+00 +1.2460e+00 +4.8169e+00 -4.6070e-02 -2.8769e+00 +2.3654e+00 -2.2578e+00 +1.3739e+00 -4.5375e+00
2 +4.581333936e+01 +4.581333936e+01 +2.887333936e+01 +2.887333936e+01 -3.4407e+00 -2.2472e+00 -2.1866e+00 +4.6922e+00 +3.2588e+00 +3.4460e-01 +3.9844e+00 -7.8273e-01 +2.6408e+00 +4.3075e+00 -3.4985e+00 +4.8108e-01 +2.1307e+00 -1.6586e+00 +3.3951e+00 -1.1511e+00 +9.8253e-01 +2.6083e+00 +1.1870e+00 +1.4443e+00
3 +3.308521604e+01 +3.308521604e+01 +1.614521604e+01 +1.614521604e+01 -1.2526e+00 -3.9088e+00 -1.7114e+00 -3.4638e+00 +3.2880e+00 +1.4887e+00 +2.3865e+00 -7.6640e-01 -3.8232e+00 +1.2341e+00 -1.0071e+00 +3.2468e-01 -5.5006e-01 -1.3878e-01 -4.1741e+00 +8.6015e-01 +2.9483e+00 -2.0549e+00 -2.8303e+00 +3.8233e+00
5 +2.375700350e+01 +2.375700350e+01 +6.817003504e+00 +6.817003504e+00 +2.5363e+00 +4.8641e+00 +1.9100e+00 +3.1521e+00 +2.3825e+00 +1.2549e+00 -3.4345e-01 -1.9080e+00 +9.9816e-01 -1.3940e+00 +1.0154e+00 +4.8291e-01 +7.7452e-02 -4.7651e+00 -2.2310e+00 -4.8596e+00 -3.3070e-01 +2.2684e+00 -1.3930e+00 +9.5588e-01
186 +1.537244301e+01 +1.537244301e+01 -1.567556989e+00 -1.567556989e+00 +3.1144e+00 -2.3326e+00 -2.8362e+00 +1.3334e-02 +1.6123e+00 +4.5912e+00 +2.9347e+00 -2.1498e+00 -2.8117e+00 -3.5573e+00 +1.5020e+00 -1.1687e+00 +2.4470e+00 -4.0695e+00 +1.3253e+00 +4.8272e+00 +3.1146e+00 +2.9734e+00 -2.4127e+00 -1.2739e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.071572805e+01 +7.071572805e+01 +8.952572805e+01 +8.952572805e+01 -1.8319e+00 +3.1109e+00 +2.1617e+00 +1.6277e+00 -4.4879e+00 -1.6911e+00 -3.6374e+00 -3.0063e+00 +4.6571e+00 -4.0179e+00 -4.0893e+00 -9.0392e-01 +4.3047e-01 -1.7894e+00 +2.6411e+00 -4.6491e+00 +4.3735e+00 +4.0906e+00 -4.6889e+00 +4.4706e+00
3 +4.560575503e+01 +4.560575503e+01 +6.441575503e+01 +6.441575503e+01 -3.6701e+00 -4.5387e+00 +4.8835e+00 +2.0240e+00 +3.5316e+00 +3.1635e-01 -4.2165e+00 -3.9019e+00 +4.5898e+00 -1.5300e+00 -2.9729e+00 +2.3965e-01 -6.3770e-01 -3.4369e+00 +2.9204e+00 -3.0049e+00 +4.9748e+00 +2.7871e+00 -3.1704e+00 +1.2950e+00
4 +2.263950018e+01 +2.263950018e+01 +4.144950018e+01 +4.144950018e+01 -4.2273e+00 -2.6697e+00 +1.1873e+00 -2.3346e+00 +1.3783e-01 +4.6832e-01 -3.8813e+00 +3.3173e+00 -1.4601e+00 -1.1435e+00 +8.8416e-01 +2.2747e+00 +1.8306e+00 -7.6910e-01 -1.5154e+00 -3.8350e+00 -1.8960e+00 -1.7559e+00 -2.3246e+00 +1.9884e+00
49 +1.521216141e+01 +1.521216141e+01 +3.402216141e+01 +3.402216141e+01 +1.4050e+00 -3.7070e+00 +1.7410e+00 -1.2773e+00 -3.2380e+00 -2.2635e+00 +3.7324e+00 -2.6540e+00 -8.7134e-01 -1.9258e-01 +2.9331e-01 -7.4008e-01 -2.0827e+00 -1.2766e+00 -4.8258e+00 +3.6797e-01 -8.5899e-01 +3.2291e+00 +1.6248e+00 +4.6915e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +9.639376132e+01 +9.639376132e+01 +3.695437613e+02 +3.695437613e+02 +1.3586e+00 +1.2979e+00 +3.4873e+00 +3.0140e+00 -2.8303e-01 +2.9591e+00 +8.9650e-01 +4.5394e+00 -3.2171e+00 -1.1986e+00 +1.9335e+00 +4.8959e+00 +1.1151e+00 +3.5501e+00 -3.5666e+00 +4.2984e+00 +2.0200e+00 -1.3545e+00 -1.3169e+00 -2.0053e+00
8 +2.726693080e+01 +2.726693080e+01 +3.004169308e+02 +3.004169308e+02 -2.7931e+00 +8.0754e-01 -9.3847e-01 +1.5407e+00 +7.1354e-01 -4.1591e-01 -4.6029e+00 -1.0140e+00 -3.7883e+00 -7.9518e-02 -3.5849e+00 -4.8974e+00 -3.6145e+00 -4.9402e-01 -2.1902e+00 -4.4026e+00 -2.2297e+00 -1.8394e+00 -2.2626e+00 +4.8536e-01
67 +2.443494555e+01 +2.443494555e+01 +2.975849456e+02 +2.975849456e+02 +5.7173e-01 +3.7026e+00 -2.6083e+00 +3.8966e+00 -2.1858e+00 -1.6882e+00 -1.2108e+00 +2.1317e+00 -3.5441e+00 +3.8590e+00 -4.0707e+00 -2.5643e+00 -1.1047e+00 +2.4780e+00 -3.2483e+00 +2.5686e+00 -8.7688e-02 -9.7029e-01 -4.3268e+00 -4.8684e+00
% function evaluation | noise-free fitness - Fopt (3.718000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.583548208e+01 +1.583548208e+01 +5.301548208e+01 +5.301548208e+01 +1.8300e+00 -3.8841e+00 +3.8740e+00 +4.2313e+00 -4.8314e-01 +2.8987e+00 -3.5019e+00 +8.6251e-01 -3.6594e+00 +3.8244e+00 +3.8831e+00 -2.4776e+00 -3.1700e+00 +4.4930e+00 -3.6962e+00 +1.8096e+00 -2.2647e+00 -3.8968e-01 -1.5038e+00 +1.0675e+00
% function evaluation | noise-free fitness - Fopt (-1.479000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.201673863e+01 +2.201673863e+01 -1.258832614e+02 -1.258832614e+02 +1.1471e+00 +1.5091e+00 +6.7805e-01 -3.3791e-01 +3.8002e-01 +4.6343e+00 +3.5291e+00 -3.4867e+00 -1.7890e+00 -2.3858e+00 -2.9476e+00 -1.9559e-01 +1.0954e+00 +3.4094e+00 -4.4046e+00 +4.0508e-01 -3.9321e-01 +4.2320e+00 -2.2077e+00 -9.2957e-01
