% function evaluation | noise-free fitness - Fopt (-2.098800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.397413943e+07 +1.397413943e+07 +1.397392955e+07 +1.397392955e+07 -4.5916e+00 -1.8573e-01 -4.8693e+00 -2.9325e+00 +2.5981e+00 -3.0681e+00 -2.9872e+00 +9.9465e-01 -2.1607e+00 -6.3575e-01 +1.5275e+00 +2.8778e+00 +3.6201e-01 -2.9846e+00 -1.3446e-02 -3.6863e-01 +1.9083e+00 +2.3917e+00 -4.5704e+00 +4.7558e+00
8 +7.858596812e+06 +7.858596812e+06 +7.858386932e+06 +7.858386932e+06 +4.0921e+00 +3.2533e+00 -4.8840e+00 -2.4627e+00 -2.9469e+00 +2.8864e-01 -4.1708e+00 +3.4105e+00 -9.7286e-01 -1.5558e+00 +1.7826e+00 +2.8091e+00 -4.1538e+00 -1.8716e+00 -1.9308e+00 -3.9330e+00 +6.2699e-03 +2.3951e+00 +9.9608e-01 +8.7571e-01
25 +5.330236710e+06 +5.330236710e+06 +5.330026830e+06 +5.330026830e+06 -3.1163e+00 +2.9571e-01 -2.9666e+00 -3.9813e+00 -3.8973e+00 -2.5779e+00 +2.4245e+00 -1.7486e+00 +1.0110e+00 -3.8756e+00 -2.0423e+00 -1.1697e-01 -1.9794e+00 -3.0425e+00 +1.7049e+00 +2.9626e+00 -4.6016e+00 +7.2011e-01 -2.7274e+00 +2.6689e+00
85 +3.617152891e+06 +3.617152891e+06 +3.616943011e+06 +3.616943011e+06 -1.2529e+00 +3.2884e+00 +3.3791e+00 -1.5097e+00 +3.2276e+00 -3.6937e+00 -2.3232e-01 -4.7712e+00 +1.5657e+00 -8.5577e-01 -3.2883e+00 +2.1229e+00 -4.6216e+00 -1.4962e+00 -3.1433e+00 -2.9695e+00 -1.0704e+00 +3.4226e-01 -1.0263e+00 +1.8355e+00
% function evaluation | noise-free fitness - Fopt (-9.209000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.815017700e+06 +7.815017700e+06 +7.814925610e+06 +7.814925610e+06 +3.5580e+00 +2.8279e+00 -2.3978e+00 +4.2626e+00 -4.9568e+00 +1.6279e+00 +2.9011e+00 +3.3746e+00 -2.7596e+00 -1.4446e+00 +1.6994e-01 -9.5986e-01 +4.7797e+00 -1.2030e+00 +3.4762e-01 -2.5409e+00 -3.3506e-01 +1.0555e+00 +4.5167e+00 -1.2015e+00
2 +4.831725325e+06 +4.831725325e+06 +4.831633235e+06 +4.831633235e+06 -1.2943e+00 -3.1450e+00 -3.2636e+00 -3.0953e-01 +2.2148e+00 +3.1919e+00 +1.8629e+00 -1.3682e-01 +3.5786e+00 -2.5882e+00 +4.7212e+00 -2.2936e-01 -3.4481e+00 -2.4607e+00 +2.0215e+00 -3.8159e+00 -2.8752e+00 +3.1017e+00 -2.8934e-02 -2.2767e-01
27 +1.645092299e+06 +1.645092299e+06 +1.645000209e+06 +1.645000209e+06 -2.1950e+00 -4.3082e+00 +7.9181e-01 -4.2767e+00 +3.6272e+00 +4.7695e+00 -1.8322e+00 -1.6078e-01 -2.3275e-01 -2.0855e+00 -1.1600e-01 +2.5471e+00 +3.5064e+00 +2.8864e+00 +3.8917e+00 +1.0805e+00 -2.0257e+00 +4.9370e+00 +8.0135e-01 -1.3172e+00
% function evaluation | noise-free fitness - Fopt (-8.789000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.923853581e+07 +3.923853581e+07 +3.923844792e+07 +3.923844792e+07 -3.1038e+00 -5.8704e-01 +1.4641e+00 -2.7972e+00 -6.7457e-01 -3.0986e+00 -2.0047e+00 -2.5781e+00 -4.8356e+00 -4.7471e+00 +4.6769e+00 -2.3253e+00 -2.2873e+00 +5.9733e-01 -1.8095e+00 -3.4040e+00 -4.1640e+00 +3.1158e-01 -3.8440e+00 -2.8882e+00
5 +2.363569376e+07 +2.363569376e+07 +2.363560587e+07 +2.363560587e+07 +3.9223e+00 -1.9810e+00 +3.8341e+00 +1.9596e+00 +3.6752e+00 -6.3286e-01 +8.2744e-01 +1.8081e+00 -1.6044e-01 +1.3612e+00 -1.7917e+00 -3.9956e+00 -1.7819e+00 +4.6169e+00 -3.7790e+00 -2.8117e+00 +2.6753e+00 +1.2597e+00 -3.9950e+00 -1.0677e+00
6 +9.314613250e+06 +9.314613250e+06 +9.314525360e+06 +9.314525360e+06 +2.0453e+00 +2.0006e+00 +2.0382e+00 -2.9638e+00 -4.4470e+00 +2.1709e-01 +1.5107e+00 -2.6118e+00 +4.6699e+00 -4.6875e+00 -6.1161e-01 +4.1945e+00 -1.6130e+00 -1.2919e+00 -1.2357e+00 -3.2296e+00 +2.5821e+00 +3.1339e+00 -3.7450e+00 +9.4234e-01
47 +2.479925502e+06 +2.479925502e+06 +2.479837612e+06 +2.479837612e+06 -2.0967e+00 -3.5394e+00 -3.9167e+00 -4.8886e+00 +2.0236e+00 +3.6864e+00 +1.7730e+00 -3.8166e+00 -2.0050e+00 -3.7412e+00 -2.5153e+00 +1.0223e+00 -3.5775e+00 -2.0380e+00 -3.6223e+00 -4.4146e+00 +2.5674e+00 +4.3642e+00 -5.5862e-01 +2.7328e+00
% function evaluation | noise-free fitness - Fopt (3.201900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.022435265e+07 +1.022435265e+07 +1.022467284e+07 +1.022467284e+07 -1.8404e+00 +5.0332e-01 -6.7033e-01 -3.9139e-01 +1.0837e+00 -3.5601e+00 +5.4223e-02 -5.5158e-01 -5.4179e-01 -1.4321e+00 +3.9790e+00 +1.1463e+00 +3.0036e+00 -2.3499e+00 +1.4721e+00 +3.1949e+00 -1.3671e+00 +3.5384e+00 +2.2965e-01 -2.4319e-01
3 +5.131582618e+06 +5.131582618e+06 +5.131902808e+06 +5.131902808e+06 +4.1511e-01 -3.1277e+00 -2.5454e+00 -2.8026e+00 +4.9473e+00 +1.7074e+00 -2.1224e+00 -4.2729e+00 +2.1260e+00 +2.8229e+00 +1.8668e+00 +9.2007e-01 -4.7940e+00 +2.4544e+00 +2.6227e+00 -2.1926e+00 +1.4000e+00 +1.7779e+00 +1.8511e+00 -5.4373e-02
33 +3.121887563e+06 +3.121887563e+06 +3.122207753e+06 +3.122207753e+06 -2.2428e+00 +3.0680e+00 +1.6470e+00 +3.7489e+00 +2.7563e+00 -3.5369e+00 -5.9587e-01 -1.6042e+00 +8.9790e-01 -9.5317e-01 +3.9239e+00 +4.1235e+00 +3.9531e-01 -2.8020e+00 +4.8264e+00 +2.0415e+00 +3.2273e+00 +1.1608e+00 +4.4672e+00 +2.3676e+00
% function evaluation | noise-free fitness - Fopt (-1.042400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
