% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.460717189e+02 +1.460717189e+02 +1.291317189e+02 +1.291317189e+02 +2.9116e+00 +4.0454e+00 +1.9409e+00 +4.6629e+00 +2.3094e+00 -5.4132e-01 -7.6471e-02 -4.8791e+00 -1.6440e+00 -3.7106e+00 +4.6020e+00 -2.8290e+00 -7.5203e-01 -1.5699e+00 -3.8343e+00 -4.1908e+00 +4.3779e+00 +1.1742e+00 -1.6125e+00 -3.6287e+00
16 +9.903121918e+01 +9.903121918e+01 +8.209121918e+01 +8.209121918e+01 -1.4290e+00 -2.3952e+00 -1.5975e-01 -3.7394e+00 +4.8842e+00 -3.7567e-01 +1.6067e+00 -4.7912e+00 +2.9324e+00 -3.5935e+00 +1.0374e+00 -4.6590e-01 +2.4195e+00 +1.0823e+00 -2.2009e+00 +3.4305e+00 -2.0743e+00 +6.8454e-03 -7.1688e-01 +2.4481e+00
% function evaluation | noise-free fitness - Fopt (1.881000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.187871381e+02 +1.187871381e+02 +1.375971381e+02 +1.375971381e+02 +4.3435e+00 +3.7863e+00 -2.8265e+00 +3.3883e+00 +1.9811e+00 -4.1661e+00 -3.5167e+00 +2.3029e+00 -4.6595e-01 +2.6659e+00 -1.9711e+00 -6.7327e-01 +2.5278e+00 +2.0907e+00 -4.9402e+00 +6.8785e-01 -4.8081e+00 -3.8046e+00 -4.1421e-01 +4.3634e+00
5 +9.648141351e+01 +9.648141351e+01 +1.152914135e+02 +1.152914135e+02 -2.0350e-01 +2.8993e-01 -6.5959e-01 -3.7849e-01 +3.1961e+00 -8.6628e-01 -8.8269e-01 +2.9743e+00 -4.1482e-01 +2.3527e+00 +8.7999e-01 -1.1176e+00 +1.3042e+00 -2.3722e+00 -1.1183e+00 -3.9409e+00 +2.7475e+00 +7.8735e-01 +8.5529e-01 -8.9299e-01
20 +6.013418107e+01 +6.013418107e+01 +7.894418107e+01 +7.894418107e+01 +3.4501e+00 -2.8685e+00 -1.5917e+00 +1.5635e+00 +3.1662e+00 -3.1332e+00 -1.9593e+00 -5.7653e-01 +5.9705e-01 +4.7778e+00 -3.0195e+00 -4.4272e+00 +2.3105e+00 +1.8058e+00 -8.4534e-01 -3.5069e+00 -4.3704e+00 +3.6735e+00 +3.4449e+00 +1.3510e+00
% function evaluation | noise-free fitness - Fopt (2.731500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.209031172e+02 +5.209031172e+02 +7.940531172e+02 +7.940531172e+02 -2.9314e+00 -4.2918e+00 +2.4116e+00 -4.0389e+00 +1.9022e+00 -3.3202e+00 +4.3143e+00 -1.4568e+00 -3.9958e-01 +2.6252e+00 -3.4811e+00 -2.4506e+00 +4.4870e+00 +2.7879e+00 -3.3601e+00 +2.4350e+00 -2.9050e+00 -4.9981e+00 +4.8715e+00 -4.9226e+00
3 +2.946415789e+02 +2.946415789e+02 +5.677915789e+02 +5.677915789e+02 -3.5519e-01 +4.2683e+00 -1.3823e+00 +2.3433e+00 +3.0644e+00 +4.9048e+00 -3.3585e+00 -2.0464e+00 -1.1903e+00 -2.3073e+00 -3.3495e+00 -6.2844e-01 +1.6206e+00 -7.5213e-02 +2.9140e+00 -2.1306e-01 -5.4559e-01 +1.3801e+00 -3.1927e+00 -3.0162e+00
5 +1.955091104e+02 +1.955091104e+02 +4.686591104e+02 +4.686591104e+02 -4.8903e+00 +1.4604e+00 -4.7317e+00 +3.0134e+00 -4.5230e+00 -1.7193e+00 +4.8913e+00 -3.3267e+00 +1.0870e+00 +1.0827e+00 -7.8509e-01 +3.6224e+00 -5.6565e-01 -2.1631e+00 -3.4817e+00 +2.3824e+00 +1.0374e+00 -2.9693e+00 -2.9242e+00 -3.3711e+00
