% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.120886409e+01 +1.120886409e+01 +1.807886409e+01 +1.807886409e+01 +1.3464e+00 +2.3072e+00 +3.2113e+00 +2.5073e+00 +3.4128e+00 -3.6287e+00 -4.3603e-01 -4.9270e+00 -4.1616e+00 +4.9184e+00 -4.5491e+00 -4.2408e+00 +1.4824e+00 -6.0246e-01 +2.7052e+00 +2.3374e+00 -2.9093e+00 +1.3538e+00 -2.4301e+00 -3.9334e+00
6 +7.488250279e+00 +7.488250279e+00 +1.435825028e+01 +1.435825028e+01 +4.7062e+00 -1.0799e+00 +6.4467e-02 +3.8299e+00 -5.3665e-01 +4.0139e+00 +8.0981e-01 -1.7918e+00 +1.1250e+00 -4.9714e+00 +1.7554e+00 +2.7753e+00 -5.0311e-01 -6.5182e-02 +2.9126e+00 -4.1818e+00 -1.2895e+00 +3.2092e+00 +1.6944e+00 +3.0379e-01
26 +3.785965761e+00 +3.785965761e+00 +1.065596576e+01 +1.065596576e+01 +1.7286e-01 +4.4484e+00 +4.2093e+00 -1.5325e+00 -2.7044e+00 +1.3376e+00 -3.9590e+00 +2.5480e+00 +2.7689e+00 +4.2612e+00 -1.4766e+00 +3.2247e+00 +6.5402e-01 -2.6174e+00 -3.5438e-01 +1.1993e+00 -1.0926e-01 +7.4294e-01 -4.0164e+00 -4.1843e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e-02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.678477389e+01 +1.678477389e+01 +1.679477389e+01 +1.679477389e+01 -1.9208e+00 -1.8934e+00 -4.4130e+00 +2.9703e+00 -4.0573e+00 +3.2328e+00 -2.8508e+00 +3.9511e+00 +3.0477e+00 -2.4735e+00 -1.3595e+00 +3.3625e+00 +2.8393e+00 +1.9106e+00 -1.8811e+00 -1.8525e+00 +3.5546e+00 +8.1322e-01 -1.7723e+00 +4.0768e+00
2 +1.034290462e+01 +1.034290462e+01 +1.035290462e+01 +1.035290462e+01 -1.8534e+00 +2.1296e+00 -2.3888e-01 -1.5697e+00 +4.6836e+00 -4.4998e+00 +3.8115e+00 -1.9617e+00 +1.8825e+00 -3.8900e+00 +1.6260e+00 +2.3512e+00 -2.2606e+00 -3.8074e+00 +3.9357e+00 -2.0541e+00 -3.6970e+00 -4.2862e+00 -1.7467e+00 +3.9551e+00
5 +6.522617496e+00 +6.522617496e+00 +6.532617496e+00 +6.532617496e+00 +1.4047e+00 +2.4744e+00 +8.0621e-01 +2.9468e+00 +7.6757e-01 +1.0158e+00 -8.0061e-01 +4.1535e+00 -6.9169e-01 +7.1641e-01 -1.6090e-01 +4.5761e+00 +3.1930e-01 -3.3687e-01 -1.2851e+00 +4.1542e+00 -2.7343e+00 +3.0995e+00 +4.6437e+00 -1.3601e+00
25 +6.131260585e+00 +6.131260585e+00 +6.141260585e+00 +6.141260585e+00 +3.5954e+00 +3.2639e+00 +3.4753e+00 -9.6306e-01 +1.7696e+00 +3.4107e-01 +2.0630e+00 -2.1862e+00 +3.2261e+00 -3.9185e+00 +1.7214e+00 +1.7933e-01 +3.7725e-01 +3.0636e+00 +1.1875e-01 +3.9162e+00 +4.8040e+00 -4.7635e+00 +3.7910e+00 +3.9071e+00
67 +3.924787111e+00 +3.924787111e+00 +3.934787111e+00 +3.934787111e+00 +3.9849e+00 -4.7346e+00 +4.2472e+00 +3.1288e+00 +2.3588e+00 +8.1131e-02 +4.3504e+00 -2.7578e-01 +4.0814e+00 +3.1061e+00 -9.6898e-01 +3.2731e+00 +8.6002e-01 -3.9478e+00 +8.0804e-01 -3.0553e+00 -6.8021e-02 -3.8924e+00 +1.0315e+00 -7.8238e-01
% function evaluation | noise-free fitness - Fopt (-1.306100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
