% function evaluation | noise-free fitness - Fopt (2.997000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
6156 +2.349220762e-01 +2.349220762e-01 -2.797150779e+02 -2.797150779e+02 -3.3536e+00 -3.8661e+00
9556 +1.491842501e-01 +1.491842501e-01 -2.798008157e+02 -2.798008157e+02 -3.3761e+00 -3.8744e+00
11768 +9.869442070e-02 +9.869442070e-02 -2.798513056e+02 -2.798513056e+02 -3.4236e+00 -3.8913e+00
20583 +6.301259356e-02 +6.301259356e-02 -2.798869874e+02 -2.798869874e+02 -3.4615e+00 -3.9047e+00
23275 +6.071035138e-03 +6.071035138e-03 -2.799439290e+02 -2.799439290e+02 -3.6133e+00 -3.9585e+00
23930 +3.409489733e-03 +3.409489733e-03 -2.799465905e+02 -2.799465905e+02 -3.6132e+00 -3.9584e+00
24181 +4.528838187e-04 +4.528838187e-04 -2.799495471e+02 -2.799495471e+02 -3.6132e+00 -3.9584e+00
24351 +2.379549940e-04 +2.379549940e-04 -2.799497620e+02 -2.799497620e+02 -3.6132e+00 -3.9584e+00
24599 +1.369863490e-04 +1.369863490e-04 -2.799498630e+02 -2.799498630e+02 -3.6133e+00 -3.9585e+00
24927 +5.582020134e-05 +5.582020134e-05 -2.799499442e+02 -2.799499442e+02 -3.6133e+00 -3.9585e+00
% function evaluation | noise-free fitness - Fopt (9.319900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.918651903e+02 +1.918651903e+02 +1.123855190e+03 +1.123855190e+03 +1.7015e+00 -7.8272e-01
2 +7.184361483e+01 +7.184361483e+01 +1.003833615e+03 +1.003833615e+03 +4.5112e+00 -3.9625e-01
4 +5.023121540e+01 +5.023121540e+01 +9.822212154e+02 +9.822212154e+02 +3.1898e+00 -1.4503e-01
71 +3.061511922e+01 +3.061511922e+01 +9.626051192e+02 +9.626051192e+02 +2.1843e+00 +7.2485e-01
93 +2.251785420e+01 +2.251785420e+01 +9.545078542e+02 +9.545078542e+02 -5.2617e-01 +1.6808e+00
420 +1.549523821e+01 +1.549523821e+01 +9.474852382e+02 +9.474852382e+02 +2.4295e+00 +4.8217e-01
474 +7.900965297e+00 +7.900965297e+00 +9.398909653e+02 +9.398909653e+02 +1.5158e+00 +8.6842e-01
705 +4.270891113e+00 +4.270891113e+00 +9.362608911e+02 +9.362608911e+02 +1.4498e+00 +8.6896e-01
938 +7.935706964e-01 +7.935706964e-01 +9.327835707e+02 +9.327835707e+02 +1.4282e+00 +8.5101e-01
1160 +5.290160528e-01 +5.290160528e-01 +9.325190161e+02 +9.325190161e+02 +1.4655e+00 +8.2595e-01
1280 +3.087915380e-01 +3.087915380e-01 +9.322987915e+02 +9.322987915e+02 +1.4561e+00 +8.3155e-01
1576 +2.064929178e-01 +2.064929178e-01 +9.321964929e+02 +9.321964929e+02 +1.3949e+00 +8.5777e-01
2168 +1.453417001e-01 +1.453417001e-01 +9.321353417e+02 +9.321353417e+02 +1.4081e+00 +8.5275e-01
2337 +9.427562015e-02 +9.427562015e-02 +9.320842756e+02 +9.320842756e+02 +1.2881e+00 +9.0512e-01
2417 +3.148508816e-02 +3.148508816e-02 +9.320214851e+02 +9.320214851e+02 +1.4039e+00 +8.5548e-01
2626 +1.308083716e-02 +1.308083716e-02 +9.320030808e+02 +9.320030808e+02 +1.3827e+00 +8.6442e-01
6393 +7.866118209e-03 +7.866118209e-03 +9.319978661e+02 +9.319978661e+02 +1.3708e+00 +8.6947e-01
30819 +4.930568278e-03 +4.930568278e-03 +9.319949306e+02 +9.319949306e+02 +1.3517e+00 +8.7760e-01
31892 +2.410075262e-03 +2.410075262e-03 +9.319924101e+02 +9.319924101e+02 +1.3518e+00 +8.7752e-01
32543 +1.577347757e-03 +1.577347757e-03 +9.319915773e+02 +9.319915773e+02 +1.3519e+00 +8.7748e-01
54257 +4.038506567e-04 +4.038506567e-04 +9.319904039e+02 +9.319904039e+02 +1.3457e+00 +8.8010e-01
54927 +3.653404809e-04 +3.653404809e-04 +9.319903653e+02 +9.319903653e+02 +1.3457e+00 +8.8010e-01
75801 +8.800682792e-05 +8.800682792e-05 +9.319900880e+02 +9.319900880e+02 +1.3383e+00 +8.8324e-01
76821 +1.260131171e-06 +1.260131171e-06 +9.319900013e+02 +9.319900013e+02 +1.3383e+00 +8.8324e-01
