% function evaluation | noise-free fitness - Fopt (-1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.650445856e+01 +8.650445856e+01 -9.134955414e+02 -9.134955414e+02 +3.9610e+00 -2.6009e+00 +3.7174e+00 +3.8083e+00 -2.5195e+00 +3.1144e+00 +4.2818e+00 +4.1683e+00 +2.7653e+00 -1.8859e-01 +1.8056e+00 -3.8487e+00 -1.0104e+00 +1.3941e+00 +8.4954e-01 +3.4182e-01 +4.0748e+00 -3.5313e+00 -2.5373e+00 -7.8795e-01
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.447700494e+01 +8.447700494e+01 +1.084477005e+03 +1.084477005e+03 -2.4438e+00 -4.4044e+00 -1.7664e+00 -2.2819e+00 +1.7081e+00 -8.7911e-02 -2.0508e+00 -4.5087e-01 +2.8847e+00 +2.1652e+00 -7.0077e-01 -3.3333e+00 -3.4365e+00 +4.1054e+00 -4.4267e+00 -3.7464e-01 -1.3083e-01 -3.3705e+00 +3.4986e+00 -3.2702e+00
% function evaluation | noise-free fitness - Fopt (-4.913000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.629714000e+01 +8.629714000e+01 +3.716714000e+01 +3.716714000e+01 -2.6215e+00 +3.8562e+00 -4.5685e+00 +4.3585e+00 -2.7424e+00 +3.1820e+00 +1.5623e+00 -2.7915e+00 +2.5242e+00 -4.4339e+00 +8.0446e-02 +2.6549e+00 +1.2681e+00 +2.3969e+00 +4.5291e+00 +3.7407e+00 +4.3856e+00 +3.0730e+00 +4.0250e+00 -4.5322e+00
% function evaluation | noise-free fitness - Fopt (2.977300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.594950413e+01 +8.594950413e+01 +3.836795041e+02 +3.836795041e+02 +9.1676e-02 +1.9374e-01 +3.0003e+00 +4.2613e+00 -1.7895e+00 +3.7167e+00 -4.9082e-04 +1.4251e+00 +4.2912e+00 -3.9667e+00 -4.3267e-01 -5.3508e-01 -1.3471e-01 +3.9769e+00 +3.9357e+00 +2.9590e+00 +4.9391e+00 +8.7591e-01 -1.3447e+00 -1.6191e-01
% function evaluation | noise-free fitness - Fopt (5.157000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.642861098e+01 +8.642861098e+01 +1.379986110e+02 +1.379986110e+02 -2.0385e+00 -1.7432e+00 -2.1050e+00 +3.4556e+00 -3.1168e+00 +4.3686e+00 +4.2141e-01 +1.8523e+00 -2.2904e+00 +4.4695e+00 -5.7700e-01 +3.6537e+00 -2.0322e+00 -3.9392e+00 -3.5485e+00 +4.3249e-01 -2.4573e+00 +3.1840e+00 +3.2314e+00 -4.7156e+00
% function evaluation | noise-free fitness - Fopt (1.495000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.655067696e+01 +8.655067696e+01 +1.015006770e+02 +1.015006770e+02 +2.4249e+00 +2.4356e+00 +1.9482e+00 -4.3690e+00 -2.1704e+00 +3.3272e+00 +9.0045e-01 -4.5157e+00 -9.0438e-01 +2.1482e+00 +1.0302e+00 +3.8313e+00 +1.0859e+00 -3.8147e+00 -2.5553e+00 +3.9660e+00 -2.6062e+00 +1.6290e+00 +4.4828e+00 -1.9187e+00
% function evaluation | noise-free fitness - Fopt (6.938000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
